rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
314,42.358695,-71.088635,10,0.977,2,499.6,SLCONS,499.6,477.1,3356.5,100.0,3016.2,1,0,KEEP_INCOV_UNCHARTED
315,42.358300,-71.089251,10,0.772,1,561.5,SLCONS,561.5,527.7,3407.7,136.8,3080.8,1,0,KEEP_INCOV_UNCHARTED
316,42.361229,-71.084019,10,0.833,1,98.9,BUISGL,98.9,150.1,2987.8,375.9,2554.0,1,0,UNKNOWN_INCOV
317,42.359244,-71.083662,10,0.802,1,110.8,SLCONS,110.8,68.6,2947.9,208.2,2624.1,1,0,UNKNOWN_INCOV
318,42.359911,-71.082208,10,0.644,1,25.3,PONTON,25.3,39.7,2830.3,246.9,2483.8,1,0,SUPPRESS_CHARTED
319,42.362279,-71.081629,10,0.728,1,17.4,BUISGL,17.4,51.7,2805.1,419.3,2327.5,1,0,SUPPRESS_CHARTED
320,42.361204,-71.081351,10,0.844,1,8.1,BUISGL,8.1,51.6,2769.2,301.8,2356.0,1,0,SUPPRESS_CHARTED
321,42.355315,-71.077348,10,0.760,1,12.1,BRIDGE,12.1,83.2,2462.6,383.2,2273.1,1,0,SUPPRESS_CHARTED
322,42.354897,-71.081330,10,0.689,1,10.0,SLCONS,10.0,10.0,2792.9,307.2,2601.2,1,0,SUPPRESS_CHARTED
323,42.354508,-71.080089,10,0.596,1,65.4,BUISGL,65.4,85.9,2700.0,355.3,2501.0,1,0,UNKNOWN_INCOV
324,42.378292,-71.049943,10,0.875,1,14.4,BUISGL,14.4,64.0,833.4,314.2,396.3,0,0,SUPPRESS_CHARTED
325,42.374929,-71.044245,10,0.658,1,37.5,SLCONS,107.7,182.3,403.0,225.1,568.8,1,0,UNKNOWN_INCOV
326,42.375580,-71.050881,10,0.709,1,7.0,BUISGL,7.0,47.0,622.6,348.9,662.5,0,0,SUPPRESS_CHARTED
327,42.376491,-71.050241,10,0.948,1,3.4,BUISGL,3.4,36.7,669.8,299.7,588.6,0,0,SUPPRESS_CHARTED
328,42.380066,-71.046895,10,0.949,1,59.6,SLCONS,59.6,59.6,607.1,182.0,162.2,0,0,UNKNOWN_OUTCOV
329,42.376686,-71.041105,10,0.909,1,22.4,SLCONS,24.4,21.8,692.9,431.0,394.0,0,0,SUPPRESS_CHARTED
330,42.375597,-71.042034,10,0.930,1,9.2,SLCONS,9.7,9.7,549.7,381.1,490.5,0,0,SUPPRESS_CHARTED
331,42.377843,-71.049330,10,0.604,1,3.9,SLCONS,3.9,3.9,767.5,256.0,421.6,0,0,SUPPRESS_CHARTED
332,42.376477,-71.050627,10,0.719,1,3.9,BUISGL,3.9,65.9,686.6,330.9,602.3,0,0,SUPPRESS_CHARTED
